nameOfTheJournal,ISSN,libraryID
燃烧科学与技术,1006-8740,核心库
热带地理,1001-5221,核心库
热带海洋学报,1009-5470,核心库
热带气象学报,1004-4965,扩展库
热带亚热带植物学报,1005-3395,扩展库
热带作物学报,1000-2561,扩展库
热固性树脂,1002-7432,扩展库
热科学与技术,1671-8097,扩展库
热力发电,1002-3364,核心库
热能动力工程,1001-2060,扩展库
人类学学报,1000-3193,核心库
软件学报,1000-9825,核心库
润滑与密封,0254-0150,扩展库
色谱,1000-8713,核心库
森林与环境学报,2096-0018,核心库
厦门大学学报.  自然科学版,0438-0479,扩展库
山地学报,1008-2786,核心库
山东大学学报.  工学版,1672-3961,核心库
山东大学学报.  理学版,1671-9352,扩展库
陕西师范大学学报.  自然科学版,1672-4291,扩展库
上海大学学报.  自然科学版,1007-2861,扩展库
上海海洋大学学报,1674-5566,核心库
上海航天（中英文）,2096-8655,核心库
上海交通大学学报,1006-2467,核心库
上海交通大学学报.  医学版,1674-8115,核心库
上海理工大学学报,1007-6735,扩展库
上海针灸杂志,1005-0957,扩展库
上海中医药杂志,1007-1334,扩展库
深空探测学报（中英文）,2096-9287,核心库
深圳大学学报.  理工版,1000-2618,扩展库
神经解剖学杂志,1000-7547,扩展库
沈阳农业大学学报,1000-1700,扩展库
沈阳药科大学学报,1006-2858,扩展库
肾脏病与透析肾移植杂志,1006-298X,扩展库
生理学报,0371-0874,核心库
生命科学,1004-0374,核心库
生态毒理学报,1673-5897,扩展库
生态环境学报,1674-5906,核心库
生态科学,1008-8873,核心库
生态学报,1000-0933,核心库
生态学杂志,1000-4890,核心库
生态与农村环境学报,1673-4831,核心库
生物安全学报,2095-1787,扩展库
生物多样性,1005-0094,核心库
生物工程学报,1000-3061,核心库
生物化学与生物物理进展,1000-3282,核心库
生物技术通报,1002-5464,核心库
生物学杂志,2095-1736,扩展库
声学技术,1000-3630,扩展库
声学学报,0371-0025,核心库
湿地科学,1672-5948,核心库
石油地球物理勘探,1000-7210,核心库
石油化工,1000-8144,核心库
石油勘探与开发,1000-0747,核心库
石油炼制与化工,1005-2399,扩展库
石油实验地质,1001-6112,核心库
石油物探,1000-1441,扩展库
石油学报,0253-2697,核心库
石油学报.  石油加工,1001-8719,扩展库
石油与天然气地质,0253-9985,核心库
石油与天然气化工,1007-3426,扩展库
石油钻探技术,1001-0890,扩展库
时间频率学报,1674-0637,扩展库
时珍国医国药,1008-0805,扩展库
实验力学,1001-4888,核心库
实验流体力学,1672-9897,核心库
实用妇产科杂志,1003-6946,扩展库
实用口腔医学杂志,1001-3733,扩展库
食品科学,1002-6630,核心库
食品科学技术学报,2095-6002,核心库
食品与发酵工业,0253-990X,核心库
食品与机械,1003-5788,扩展库
食品与生物技术学报,1673-1689,扩展库
食用菌学报,1005-9873,扩展库
世界科技研究与发展,1006-6055,扩展库
世界科学技术：中医药现代化,1674-3849,扩展库
世界林业研究,1001-4241,核心库
兽类学报,1000-1050,扩展库
数据采集与处理,1004-9037,扩展库
数据分析与知识发现,2096-3467,扩展库
数据与计算发展前沿,2096-742X,扩展库
数量经济技术经济研究,1000-3894,核心库
数学进展,1000-0917,扩展库
数学年刊. A 辑,1000-8314,核心库
数学物理学报. A 辑,1003-3998,扩展库
数学学报,0583-1431,核心库
水产科学,1003-1111,扩展库
